country,year,qod,instaccount,elecaccount,socaccount,qog,fisccap,coordcap,delivcap,qol,soclife,econlife,envlife,uncertainty,trust,confgov,population,gdp_capita,gdp_growth,inflation,regime,globalization,civil_war,interstate_conflict
AGO,2000,32.26,25.92,25.19,42.84,29.11,71.74,29.37,29.28,23.74,28.54,16.73,56.49,0.0359837,,,16395477,2316,3.05462423430785,324.996871601321,0,41.8797035217285,0,0
AGO,2001,32.48,25.47,25.22,43.1,27.96,56.61,29.58,29.04,21.5,29.28,21.37,26.36,0.03639935,,,16945753,2487,4.2059985561951,152.561022469299,0,40.7572937011719,0,0
AGO,2002,32.02,24.17,25.25,43.45,25.27,45.97,31.27,24.2,24.71,32.02,23.91,31.0,0.0140639,,,17519418,2901,13.6656865230232,108.897436089429,0,38.948055267334,1,0
AGO,2003,33.78,23.83,25.25,45.42,25.81,48.24,32.26,24.05,26.87,34.66,23.93,31.82,0.0126369,,,18121477,3119,2.98985001039553,98.2241436573305,0,40.2001686096191,1,0
AGO,2004,33.75,23.9,25.16,45.49,25.92,51.4,32.24,23.87,28.63,35.24,29.85,32.77,0.02558965,,,18758138,3524,10.9528617687103,43.5421067519686,0,40.2421607971191,1,0
AGO,2005,34.52,23.93,25.57,46.79,25.96,52.33,32.31,23.72,27.41,36.5,17.99,33.72,0.0590732,,,19433604,4266,15.0289153175302,22.953513851394,0,41.234260559082,0,0
AGO,2006,34.63,23.9,25.1,46.82,27.33,67.88,32.33,23.91,29.17,37.48,22.4,34.57,0.0130048,,,20149905,5562,11.5476831781633,13.3052101780031,0,41.7217826843262,0,0
AGO,2007,34.33,24.24,25.31,46.7,27.26,64.77,32.33,24.24,31.41,38.93,25.0,39.44,0.003861175,,,20905360,6921,14.0100182426328,12.2514974459487,0,42.6016006469727,1,0
AGO,2008,37.94,25.01,52.67,46.72,28.26,73.8,32.35,24.74,27.53,33.8,25.3,40.35,0,,,21695636,7821,11.1661383303614,12.4758291326398,0,42.7307586669922,0,0
AGO,2009,38.08,24.84,52.58,47.46,26.55,50.7,32.7,24.75,27.92,34.2,27.75,37.02,0.0166773,,,22514275,7745,0.858712615098284,13.7302839288409,0,43.6982269287109,1,0
AGO,2010,38.3,21.14,54.17,47.55,27.04,52.62,33.47,24.69,33.73,42.36,24.4,37.74,0.006083425,,,23356247,7692,4.40393254343761,14.4696564932576,1,44.3089370727539,0,0
AGO,2011,38.14,20.92,53.99,47.41,26.96,55.02,33.18,24.59,30.07,36.94,27.17,37.76,0.049250525,,,24220660,7675,3.47197634454024,13.4824679218512,1,44.7579307556152,0,0
AGO,2012,37.25,22.2,52.85,47.34,26.75,51.58,33.21,24.56,35.99,44.2,26.83,39.67,0.0259853,,,25107925,8037,8.54218764265372,10.2779049218839,1,44.3159408569336,0,0
AGO,2013,37.67,24.82,52.67,46.82,25.48,47.31,31.12,24.54,37.42,45.11,30.27,40.6,0.014882775,,,26015786,8141,4.95454464636187,8.77781429332618,1,43.9877510070801,0,0
AGO,2014,37.64,24.48,52.61,46.91,24.98,41.63,30.98,24.65,37.58,46.23,29.08,36.18,0.04713175,,,26941773,8240,4.82262756838996,7.28038730361125,1,43.3737258911133,0,0
AGO,2015,37.67,24.63,52.79,46.79,24.15,34.17,30.82,24.21,39.55,47.4,29.89,43.62,0.004551225,,,27884380,8036,0.943571561325001,9.15037207517202,1,43.7930526733398,0,0
AGO,2016,37.67,24.46,52.76,46.98,23.71,29.09,30.79,24.07,40.49,47.59,33.9,43.69,0.01934025,,,28842482,7569,-2.58004964404932,30.6953129934938,1,42.0311698913574,1,0
AGO,2017,40.64,30.16,55.25,48.38,31.82,28.53,39.41,32.39,41.2,49.63,28.67,44.69,0.07329335,,,29816769,7311,-0.147212941085755,29.8435866918797,1,40.9868354797363,1,0
AGO,2018,44.83,33.38,55.34,54.56,37.8,32.49,42.68,40.42,41.68,50.16,27.93,46.38,0.0570854,,,30809787,6934,-2.00362972730201,19.6286077209765,1,42.5292015075684,0,0
AGO,2019,45.72,39.61,55.37,54.18,37.2,32.13,41.67,40.12,42.45,50.51,29.71,46.87,0.07850415,,,31825299,6670,-0.624644317706895,17.0812152138993,1,42.2961196899414,1,0
ALB,2000,61.6,71.2,55.57,73.75,43.25,26.81,46.69,48.14,69.04,75.78,41.7,82.96,0.004713175,,,3089027,5912,6.94621658543626,0.0500181363468233,1,48.7190589904785,0,0
ALB,2001,65.37,71.25,62.26,74.94,46.5,26.27,52.54,49.44,71.53,77.82,45.75,83.54,0.029258,,,3060173,6462,8.2933126362982,3.10758827031435,1,52.5965690612793,0,0
ALB,2002,65.98,70.82,62.7,75.08,46.36,22.64,52.62,49.67,70.64,76.33,46.83,84.1,0.034556425,0.24369748,2.6190476,3051010,6776,4.53652415746586,7.77052583431551,1,56.1718940734863,0,0
ALB,2003,66.15,70.26,62.85,74.72,46.45,22.57,52.67,49.75,71.28,77.04,46.74,84.85,0.01038625,,,3039616,7178,5.5286374640865,0.484002611818484,1,55.2885665893555,0,0
ALB,2004,66.48,70.75,63.37,75.58,46.55,24.27,52.6,49.74,70.69,75.75,48.55,85.71,0,,,3026939,7605,5.51466791001826,2.28001916938099,1,56.8336410522461,0,0
ALB,2005,69.4,70.62,67.74,76.67,46.15,24.89,52.62,48.91,72.19,77.3,49.45,86.24,0.036891425,,,3011487,8067,5.52642424110965,2.36658195679796,2,56.7056846618652,0,0
ALB,2006,70.06,70.36,67.77,78.35,46.86,25.36,54.21,48.87,72.87,78.33,48.08,87.14,0.075413525,,,2992547,8597,5.90265903803065,2.37072831904283,2,60.4610252380371,0,0
ALB,2007,69.89,71.08,67.6,78.21,46.93,25.87,54.11,48.91,74.91,80.69,48.86,87.9,0.023257,,,2970017,9180,5.98325952322337,2.93268248162319,2,63.1456832885742,0,0
ALB,2008,70.01,70.67,67.36,78.18,44.61,26.63,54.0,44.46,73.23,78.38,48.56,88.81,0.007255825,0.10362212,1.9526224,2947314,9944,7.5000414281097,3.32087090389268,2,64.7129592895508,0,0
ALB,2009,69.65,70.99,66.98,78.18,44.25,26.04,52.88,44.74,73.01,78.15,47.92,89.53,0.013993825,,,2927519,10347,3.35428935222038,2.2669220945083,2,67.2889785766602,0,0
ALB,2010,70.06,70.94,67.07,78.61,44.46,25.33,52.86,45.42,74.74,79.82,50.14,89.92,0.049629475,,,2913021,10784,3.70693815038592,3.62604695579817,2,68.8407363891602,0,0
ALB,2011,69.89,70.72,67.04,78.47,44.53,25.22,53.12,45.37,74.91,79.91,49.98,90.51,0.04157115,,,2905195,11088,2.54540614450104,3.42912324722164,2,65.1550674438477,0,0
ALB,2012,69.67,70.75,67.01,78.06,44.34,24.28,53.02,45.31,75.96,80.9,50.73,91.06,0.030671075,,,2900401,11264,1.417242800379,2.03159268395298,2,62.676441192627,0,0
ALB,2013,64.35,65.52,68.56,68.54,43.23,23.71,54.03,42.41,76.55,81.69,50.73,91.71,0.062332075,,,2895092,11398,1.00201754037133,1.93762080205227,2,65.5138931274414,0,0
ALB,2014,64.96,65.31,68.95,68.92,43.5,24.95,54.2,42.55,77.73,82.35,53.78,91.93,0.078604325,,,2889104,11624,1.77444885497087,1.62586504402607,2,67.689697265625,0,0
ALB,2015,65.21,65.77,68.97,69.61,43.5,25.56,54.2,42.51,79.16,83.9,54.85,92.31,0.0724609,,,2880703,11916,2.21872637165328,3.50120835492656,2,68.4393157958984,0,0
ALB,2016,64.85,65.74,69.0,69.39,43.37,24.04,54.23,42.44,76.66,80.81,53.93,92.68,0.084599575,,,2876101,12331,3.31498068405152,-0.367317209784628,2,65.9083404541016,0,0
ALB,2017,66.23,64.95,70.12,71.0,44.0,26.76,54.04,43.32,77.19,80.63,57.07,92.9,0.07267065,,,2873457,12812,3.80222740018748,2.0605984592022,2,66.4833602905273,0,0
ALB,2018,65.46,64.78,69.77,69.89,42.91,27.06,51.52,43.31,79.45,83.77,55.91,93.51,0.031617975,0.027856566,1.5847586,2866376,13366,4.01935968580831,2.02805963071136,2,66.1216201782227,0,0
ALB,2019,64.3,64.25,69.47,67.97,43.48,27.57,52.73,43.36,78.84,82.72,56.81,93.78,0.049852275,,,2854191,13724,2.11341998165848,1.41109078954248,1,66.3382720947266,0,0
ARE,2000,19.77,28.62,7.95,36.94,59.52,26.46,64.3,64.17,65.12,65.63,53.19,97.84,0.0435168,,,3134067,71241,10.8527042125986,,0,61.7783470153809,0,0
ARE,2001,19.61,28.67,8.01,36.91,59.4,23.49,64.34,64.32,66.35,65.77,58.76,97.85,0.007427975,,,3302722,71780,1.3990850303263,,0,62.9534759521484,0,0
ARE,2002,18.07,28.5,7.92,34.52,58.93,18.63,64.28,64.09,66.35,64.96,61.86,97.91,0.0145847,,,3478769,73044,2.43345681036156,,0,62.9458389282227,0,0
ARE,2003,18.04,28.86,8.13,34.52,56.26,21.98,57.92,64.07,67.01,65.28,64.04,97.96,0.026141475,,,3711931,78071,8.80054081486432,,0,63.7177734375,0,0
ARE,2004,16.22,30.9,8.48,30.52,56.52,23.58,58.15,63.97,71.82,71.31,64.18,97.98,0.0165599,,,4068577,81971,9.56643663716162,,0,64.2585525512695,0,0
ARE,2005,16.55,31.05,7.89,30.75,57.21,28.64,59.03,63.86,72.12,70.67,68.75,97.79,0.0063401,,,4588222,80228,4.85514119630905,,0,66.2431182861328,0,0
