scode,ccode,name,region,eu,g7,g20,oecd,asean,global_south,income
AFG,4,Afghanistan,Asia,0,0,0,0,0,1,1
AGO,24,Angola,Africa,0,0,0,0,0,1,2
ALB,8,Albania,Europe,0,0,0,0,0,0,3
ARG,32,Argentina,Americas,0,0,1,0,0,1,3
ARM,51,Armenia,Asia,0,0,0,0,0,0,3
AUS,36,Australia,Oceania,0,0,1,1,0,0,4
AUT,40,Austria,Europe,1,0,0,1,0,0,4
AZE,31,Azerbaijan,Asia,0,0,0,0,0,0,3
BDI,108,Burundi,Africa,0,0,0,0,0,1,1
BEL,56,Belgium,Europe,1,0,0,1,0,0,4
BEN,204,Benin,Africa,0,0,0,0,0,1,2
BFA,854,"Burkina Faso",Africa,0,0,0,0,0,1,1
BGD,50,Bangladesh,Asia,0,0,0,0,0,1,2
BGR,100,Bulgaria,Europe,1,0,0,0,0,0,3
BHR,48,Bahrain,Asia,0,0,0,0,0,1,4
BIH,70,"Bosnia & Herzegovina",Europe,0,0,0,0,0,1,3
BRA,76,Brazil,Americas,0,0,1,0,0,1,3
BTN,64,Bhutan,Asia,0,0,0,0,0,1,2
BWA,72,Botswana,Africa,0,0,0,0,0,1,3
CAF,140,"Central African Republic",Africa,0,0,0,0,0,1,1
CAN,124,Canada,Americas,0,1,1,1,0,0,4
CHE,756,Switzerland,Europe,0,0,0,1,0,0,4
CHL,152,Chile,Americas,0,0,0,1,0,1,4
CHN,156,China,Asia,0,0,1,0,0,1,3
CIV,384,"Côte d’Ivoire",Africa,0,0,0,0,0,1,2
CMR,120,Cameroon,Africa,0,0,0,0,0,1,2
COD,180,"Congo - Kinshasa",Africa,0,0,0,0,0,1,1
COG,178,"Congo - Brazzaville",Africa,0,0,0,0,0,1,2
COM,174,Comoros,Africa,0,0,0,0,0,1,2
CRI,188,"Costa Rica",Americas,0,0,0,1,0,1,3
CUB,192,Cuba,Americas,0,0,0,0,0,1,3
CYP,196,Cyprus,Asia,1,0,0,0,0,0,4
CZE,203,Czechia,Europe,1,0,0,1,0,0,4
DEU,276,Germany,Europe,1,1,1,1,0,0,4
DJI,262,Djibouti,Africa,0,0,0,0,0,1,2
DNK,208,Denmark,Europe,1,0,0,1,0,0,4
DOM,214,"Dominican Republic",Americas,0,0,0,0,0,1,3
ECU,218,Ecuador,Americas,0,0,0,0,0,1,3
EGY,818,Egypt,Africa,0,0,0,0,0,1,2
ESP,724,Spain,Europe,1,0,0,1,0,0,4
EST,233,Estonia,Europe,1,0,0,1,0,0,4
ETH,231,Ethiopia,Africa,0,0,0,0,0,1,1
FIN,246,Finland,Europe,1,0,0,1,0,0,4
FJI,242,Fiji,Oceania,0,0,0,0,0,1,3
FRA,250,France,Europe,1,1,1,1,0,0,4
GBR,826,"United Kingdom",Europe,0,1,1,1,0,0,4
GEO,268,Georgia,Asia,0,0,0,0,0,0,3
GHA,288,Ghana,Africa,0,0,0,0,0,1,2
GIN,324,Guinea,Africa,0,0,0,0,0,1,1
GMB,270,Gambia,Africa,0,0,0,0,0,1,1
GNB,624,Guinea-Bissau,Africa,0,0,0,0,0,1,1
GNQ,226,"Equatorial Guinea",Africa,0,0,0,0,0,1,3
GRC,300,Greece,Europe,1,0,0,1,0,0,4
GTM,320,Guatemala,Americas,0,0,0,0,0,1,3
GUY,328,Guyana,Americas,0,0,0,0,0,1,3
HND,340,Honduras,Americas,0,0,0,0,0,1,2
HRV,191,Croatia,Europe,1,0,0,0,0,0,4
HTI,332,Haiti,Americas,0,0,0,0,0,1,2
HUN,348,Hungary,Europe,1,0,0,1,0,0,4
IDN,360,Indonesia,Asia,0,0,1,0,1,1,2
IND,356,India,Asia,0,0,1,0,0,1,2
IRL,372,Ireland,Europe,1,0,0,1,0,0,4
IRN,364,Iran,Asia,0,0,0,0,0,1,2
ISL,352,Iceland,Europe,0,0,0,1,0,0,4
ISR,376,Israel,Asia,0,0,0,1,0,0,4
ITA,380,Italy,Europe,1,1,1,1,0,0,4
JAM,388,Jamaica,Americas,0,0,0,0,0,1,3
